Reaction ID,Number of Reaction Details,Reaction Rank,Record Type,Reactant,Product,Bin,Reaction,Reaction Details: Reaction Classification,Example label,Example title,Fulltext of reaction,Number of Reaction Steps,Multi-step Scheme,Multi-step Details,Number of Stages,Solid Phase,Time (Reaction Details) [h],Temperature (Reaction Details) [C],Pressure (Reaction Details) [Torr],pH-Value (Reaction Details),Other Conditions,Reaction Type,Subject Studied,Prototype Reaction,Named Reaction,Type of reaction description (Reaction Details),Location,Comment (Reaction Details),Product.1,Yield,Yield (numerical),Yield (optical),Stage Reactant,Reagent,Catalyst,Solvent (Reaction Details)
10424719,47,95,full reaction; has preparation; has multi-step,4-bromo-benzaldehyde,p-bromobenzamide,290201,BrC1=CC=C(C=O)C=C1>>NC(=O)C1=CC=C(Br)C=C1,Preparation,,General procedure for the synthesis of compounds (2a-v),"General procedure: To a mixture of catalyst (20 mg, 3.68 mol %), amine hydrochloride salt (2 mmol) and Na2CO3 (212 mg, 2 mmol) in acetonitrile (1 mL) was added aldehyde (1 mmol) and TBHP (1.5 equiv) under an argon atmosphere at room temperature. The reaction vessel was capped and stirred at 60 C for 6 h. The progress of the reaction was monitored by thin-layer chromatography. After completion, the reaction mixture was allowed to cool to room temperature, then diluted with ethyl acetate and the catalyst separated from the reaction mixture by filtration. The combined organic layers were concentrated under vacuum and the resulting residue was purified by column chromatography.",1,,,,,6,60,,,Inert atmosphere,,,,,Experimental part,supporting information,,p-bromobenzamide,62 percent,62,,,tert.-butylhydroperoxide; copper on carbon; sodium carbonate; ammonium chloride,,acetonitrile
10424719,47,95,full reaction; has preparation; has multi-step,4-bromo-benzaldehyde,p-bromobenzamide,290201,BrC1=CC=C(C=O)C=C1>>NC(=O)C1=CC=C(Br)C=C1,Preparation,,General Procedure for the Oxidation of Aldehydes to Amidesin Liquid Ammonia,"General procedure: Under an argon atmosphere, liquid NH3 (25 mL) was condensedin a two-neck round-bottom flask immersed in a dry ice coolingbath and equipped with a dry ice reflux condenser. Aldehyde(7.34 mmol) was added, and the resulting solution (or suspension)was stirred for 1 h. KMnO4 (7.34 mmol, 1.16 g) was added,the cooling bath was removed, and the reaction mixture wasstirred for another hour with gentle reflux of NH3. Na2SO3 (22.0mmol, 2.78 g) was added, the reflux condenser was removed,and the NH3 was allowed to evaporate spontaneously. The darkbrownresidue was treated with 6 M HCl (30 mL), and theresulting precipitate was filtered, washed with H2O (100 mL)and sat. aq NaHCO3 (20 mL). All products were recrystallizedfrom EtOH.",1,,,2.0,,1; 1,-33; -33,,,Inert atmosphere; Inert atmosphere; Reflux,,,,,Experimental part,supporting information,,p-bromobenzamide,61 percent,61,,4-bromo-benzaldehyde,ammonia; potassium permanganate,,
10424719,47,95,full reaction; has preparation; has multi-step,4-bromo-benzaldehyde,p-bromobenzamide,290201,BrC1=CC=C(C=O)C=C1>>NC(=O)C1=CC=C(Br)C=C1,Preparation,,General Procedure for the Oxidation of Aldehydes to Amidesin Liquid Ammonia,"General procedure: Under an argon atmosphere, liquid NH3 (25 mL) was condensedin a two-neck round-bottom flask immersed in a dry ice coolingbath and equipped with a dry ice reflux condenser. Aldehyde (7.34 mmol) was added, and the resulting solution (or suspension)was stirred for 1 h. KMnO4 (7.34 mmol, 1.16 g) was added,the cooling bath was removed, and the reaction mixture wasstirred for another hour with gentle reflux of NH3. Na2SO3 (22.0mmol, 2.78 g) was added, the reflux condenser was removed,and the NH3 was allowed to evaporate spontaneously. The darkbrownresidue was treated with 6 M HCl (30 mL), and theresulting precipitate was filtered, washed with H2O (100 mL)and sat. aq NaHCO3 (20 mL). All products were recrystallizedfrom EtOH.",1,,,2.0,,1; 1,-33,,,Inert atmosphere; Inert atmosphere; Reflux,,,,,Experimental part,supporting information,,p-bromobenzamide,61 percent,61,,4-bromo-benzaldehyde,ammonia; potassium permanganate,,
10424719,47,95,full reaction; has preparation; has multi-step,4-bromo-benzaldehyde,p-bromobenzamide,290201,BrC1=CC=C(C=O)C=C1>>NC(=O)C1=CC=C(Br)C=C1,Preparation,,4.4. General procedure for synthesis of primary amides from aldehyde,"General procedure: In a typical method, benzaldehyde (1.0 mmol), hydroxylaminehydrochloride (1.5 mmol), potassium carbonate (2.5 mmol) and0.5 mL of as-prepared SEF127-Pd(nanoparticle)/GO in DMSO were added to reaction media in the presence of 1.5 mL DMSO. The reac-tion was allowed to stir at 120C. Upon reaction completion, thecatalyst was separated by centrifuge and the organic residue was extracted with dichloromethane and evaporated under reducedpressure. The organic residue was purified by column chromatography. All yields were reported based on isolated amount. All productsare known and identified by 1H-NMR,13C-NMR spectrum and physical properties.",1,,,,,48,120,,,Green chemistry,,,,,Experimental part,,,p-bromobenzamide,61 percent,61,,,hydroxylamine hydrochloride; potassium carbonate,,dimethyl sulfoxide
10424719,47,95,full reaction; has preparation; has multi-step,4-bromo-benzaldehyde,p-bromobenzamide,290201,BrC1=CC=C(C=O)C=C1>>NC(=O)C1=CC=C(Br)C=C1,Preparation,,,,1,,,,,4,80,,,Inert atmosphere,,,,,Experimental part,,,p-bromobenzamide,45 percent,45,,,copper(I) oxide; potassium carbonate; ammonium chloride,,water; acetonitrile
10424719,47,95,full reaction; has preparation; has multi-step,4-bromo-benzaldehyde,p-bromobenzamide,290201,BrC1=CC=C(C=O)C=C1>>NC(=O)C1=CC=C(Br)C=C1,Preparation,,,,1,,,,,16,111,,,,,,,,,,,p-bromobenzamide,158 mg,,,,hydroxylamine hydrochloride,bis[dichloro(pentamethylcyclopentadienyl)iridium(III)],toluene
10424719,47,95,full reaction; has preparation; has multi-step,4-bromo-benzaldehyde,p-bromobenzamide,290201,BrC1=CC=C(C=O)C=C1>>NC(=O)C1=CC=C(Br)C=C1,Chemical behaviour,,2.7 Representative procedure for ruthenium-catalyzedaldehydes to amides conversion,"General procedure: The reaction vessel was charged with aldehyde (1mmol), NH2OH¡¤HCl (1 mmol), NaHCO3 (1 mmol),[Ru-NHC] catalyst (0.5 mol %) and the mixture wasplaced under an atmosphere of N2. About 2 mL of dryand degassed toluene was added and the mixture wasstirred for 15 min at room temperature followed byreflux for 8 h. On completion of the reaction, 2-3 mLmethanol was added to the mixture followed by filtrationthrough Celite to remove the catalyst and NaHCO3.The crude product was then purified by column chromatography(MeOH/CH2Cl2, 1:1) using silica (200-400 mesh) as solid phase provided the amide in goodyield. The resultant amide solution was subjected to GCanalysis and the product was identified in comparisonwith authentic samples",1,,,,,8.25,20 - 110,,,Inert atmosphere; Schlenk technique,,Catalytic behavior,,,Experimental part,,,,,,,,C33H27ClN3OPRu; hydroxylamine hydrochloride; sodium hydrogencarbonate,,toluene
10424719,47,95,full reaction; has preparation; has multi-step,4-bromo-benzaldehyde,p-bromobenzamide,290201,BrC1=CC=C(C=O)C=C1>>NC(=O)C1=CC=C(Br)C=C1,Preparation,,4.3. General procedure for the catalytic transformation of aldehydeto amide,"General procedure: Compound 3 (0.002 mmol), the aldehyde (1 mmol), NH2OHHCl(1 mmol) and NaHCO3 (1 mmol) were introduced in a dried schlenktube and purged with N2. Then, to the mixture, dried and degassedtoluene (2 ml) was added and the mixture was stirred for about10 min at room temperature, before the solution was refluxed understirring for 2 h. The mixture was cooled and the products wereextracted with methanol and dichloromethane before beingfiltered through celite to remove the remaining catalyst andNaHCO3. The crude amide was purified using column chromatography,and dried under vacuum.",1,,,,,2,110,,,Inert atmosphere; Schlenk technique,,,,,Experimental part,,,p-bromobenzamide,99 percentChromat.,,,,C23H27Cl2N3Rh(1+)*C24H20B(1-); hydroxylamine hydrochloride; sodium hydrogencarbonate,,toluene
10424719,47,95,full reaction; has preparation; has multi-step,4-bromo-benzaldehyde,p-bromobenzamide,290201,BrC1=CC=C(C=O)C=C1>>NC(=O)C1=CC=C(Br)C=C1,Preparation,,,,1,,,,,2,39.84,,,,,,,,Experimental part,,,p-bromobenzamide,92 percentChromat.,,,,hydroxylamine hydrochloride; C27H26Cl2NORh; sodium hydrogencarbonate,,water
10424719,47,95,full reaction; has preparation; has multi-step,4-bromo-benzaldehyde,p-bromobenzamide,290201,BrC1=CC=C(C=O)C=C1>>NC(=O)C1=CC=C(Br)C=C1,Preparation,,,,1,,,,,,160,7500.75,,Inert atmosphere; Autoclave; Green chemistry,,,,,Experimental part,,,p-bromobenzamide,90 percent,,,,hydroxylamine hydrochloride; potassium hydrogencarbonate,,water; acetonitrile
10424719,47,95,full reaction; has preparation; has multi-step,4-bromo-benzaldehyde,p-bromobenzamide,290201,BrC1=CC=C(C=O)C=C1>>NC(=O)C1=CC=C(Br)C=C1,Preparation,,,,1,,,,,,100,,,,,,,,Experimental part,,,p-bromobenzamide,76 percent,,,,hydroxylamine hydrochloride; C33H33ClNRuTe(1+)*F6P(1-); sodium hydroxide,,toluene
10424719,47,95,full reaction; has preparation; has multi-step,4-bromo-benzaldehyde,p-bromobenzamide,290201,BrC1=CC=C(C=O)C=C1>>NC(=O)C1=CC=C(Br)C=C1,Preparation,,,,1,,,,,,,,,Reflux,,,,,Experimental part,,,p-bromobenzamide,83 percent,,,,hydroxylamine hydrochloride; sodium carbonate,,water
10424719,47,95,full reaction; has preparation; has multi-step,4-bromo-benzaldehyde,p-bromobenzamide,290201,BrC1=CC=C(C=O)C=C1>>NC(=O)C1=CC=C(Br)C=C1,Chemical behaviour,,3.4. General procedure for the catalytic organic transformations of aldehyde to amide,"General procedure: The complex(4) (0.002 mmol), the aldehyde (1 mmol), NH2OHHCl (1 mmol) and NaHCO3 (2.5 mmol) were introduced in an oven dried schlenk tube with a stir bar. To the above mixture, dried and 2 ml degassed toluene was added and purged with N2. The reactions were allowed to reflux at 110 C in an oil bath. After the specified time, the flask was removed from the oil bath. Then, the mixture was cooled to room temperature and the products were extracted with organic solvents before being filtered through celite to remove the complex. The solution was evaporated under reduced pressure and purified using column chromatography and dried under vacuum. Benzamide (Entry 1, Table 7): Colour: White solid. FT-IR (KBr, ¦Í,cm-1): 3369 (N-H), 1655 (C-O). 1H NMR (25 C, CDCl3, 400 MHz,): ¦Ä (ppm) = 7.82 (d, 3JHH = 7.2 Hz, 2H, Haromatic), 7.52 (d, 1H, Haromatic), 7.44 (t, 2H, Haromatic), 6.15 (b, 2H, NH), 13C NMR (100 MHz, CDCl3, 25C): ¦Ä (ppm) = 169.5, 133.3, 132.0 128.6, 127.3.",1,,,,,,110,,,Inert atmosphere,,Catalytic behavior,,,Experimental part,,,,,,,,hydroxylamine hydrochloride; sodium hydrogencarbonate; C101H84As4Cl4N2O6Ru2,,toluene
10424719,47,95,full reaction; has preparation; has multi-step,4-bromo-benzaldehyde,p-bromobenzamide,290201,BrC1=CC=C(C=O)C=C1>>NC(=O)C1=CC=C(Br)C=C1,Preparation,,,,1,,,,,,120,,,,,,,,Experimental part,supporting information,,p-bromobenzamide,51 percent,,,,iron(III) trifluoromethanesulfonate; nitromethane; t-butyldimethylsiyl triflate; acetic acid,,
10424719,47,95,full reaction; has preparation; has multi-step,4-bromo-benzaldehyde,p-bromobenzamide,290201,BrC1=CC=C(C=O)C=C1>>NC(=O)C1=CC=C(Br)C=C1,Preparation,,General procedure fortheamidation,"General procedure: An oven-dried RBF was charged with benzaldehyde (1a, 4.71 mmol, 1 equiv.),copper acetate (4.71 mmol, 1 equiv.), ammonium acetate (9.42 mmol, 2 equiv.)and iodine (2.35 mmol, 0.5 equiv.) in DMF as solvent. After that reaction mixturewas placed in a preheated oil bath at 120C for 24 h. The reaction was monitored by using TLC. After completion of the reaction workup was done with ethylacetate, washed with cold water to remove DMF, and dried with anh. sodium sulphate, evaporated under a vacuum. The residue was purified by column chromatography with a solvent system (7:3, n-Hexane: ethyl acetate) to give amidatedproducts.",1,,,,,,120,,,,,,,,Experimental part,,,p-bromobenzamide,69 percent,,,,ammonium acetate; iodine; copper diacetate,,"N,N-dimethyl-formamide"
10424719,47,95,full reaction; has preparation; has multi-step,4-bromo-benzaldehyde,p-bromobenzamide,290201,BrC1=CC=C(C=O)C=C1>>NC(=O)C1=CC=C(Br)C=C1,Preparation,,4.3. General procedure for the catalytic transformation of aldehydes toamides,"General procedure: To an oven-dried Schlenk tube, complex 3 (0.002 mmol), aldehyde(1 mmol), NH2OHHCl (1 mmol) and NaHCO3 (1 mmol) were mixedtogether and the mixture was placed under an atmosphere of N2. Dryand degassed toluene (2 ml) was added and the mixture was refluxed forthe appropriate amount of time. On completion, the mixture was cooledto room temperature and the products were extracted with dichloromethanebefore being filtered through celite to remove the remainingunwanted components. The crude product was then extracted usingsilica gel chromatography (MeOH/CH2Cl2). The yield of the amide wasdetermined in situ by 1H NMR spectroscopy (integrations of Haldehyde vsHamide).",1,,,,,,,,,Reflux; Schlenk technique; Inert atmosphere,,,,,Experimental part,,,p-bromobenzamide,99 percentSpectr.,,,,hydroxylamine hydrochloride; sodium hydrogencarbonate; C23H27Cl2IrN3(1+)*C24H20B(1-),,toluene
10424719,47,95,full reaction; has preparation; has multi-step,4-bromo-benzaldehyde,p-bromobenzamide,290201,BrC1=CC=C(C=O)C=C1>>NC(=O)C1=CC=C(Br)C=C1,Preparation,,,,1,,,,,12,110,,,Inert atmosphere,,,,,Experimental part,,,p-bromobenzamide,88 percentChromat.,,,,hydroxylamine hydrochloride; sodium hydrogencarbonate; C53H48ClN2Ru(1+)*CF3O3S(1-),,toluene
11183802,3,95,full reaction; has preparation,3¦Â-acetoxy-20-hydroximino-5¦Á-pregn-16-en-20-one,3¦Â-acetoxy-5¦Á-androstan-17-one,,[H][C@@]12CC=C(C(C)=NO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](CC[C@]12C)OC(C)=O>>[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](CC[C@]12C)OC(C)=O,Preparation,,,,1,,,2.0,,0.5; 30,18 - 20; -5,,,,Beckmann rearrangement,,,,,,Further stages.,3¦Â-acetoxy-5¦Á-androstan-17-one,65 percent,65,,3¦Â-acetoxy-20-hydroximino-5¦Á-pregn-16-en-20-one,pyridine; trichlorophosphate; hydrogenchloride,,acetone; acetone
11183802,3,95,full reaction; has preparation,3¦Â-acetoxy-20-hydroximino-5¦Á-pregn-16-en-20-one,3¦Â-acetoxy-5¦Á-androstan-17-one,,[H][C@@]12CC=C(C(C)=NO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](CC[C@]12C)OC(C)=O>>[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](CC[C@]12C)OC(C)=O,Preparation,,,"3¦Â-Acetoxy-5¦Á-androstan-17-one (5). A mixture of 3 (1 g, 2.67 mmol), dry C5H5N (3.2 mL), and dry CH3COCH3 (3.2 mL) at 18-20C was treated with POC13 (1.2 mL), stirred for 30 min, cooled to -50C, treated with dilute HCl (1:1 with water, 28 mL), stirred for 30 min, and treated with water until neutral. The resulting precipitate was filtered off and washed with water to afford crude product (0.83 g) that was chromatographed over a column of silica gel (L 100-160) with elution bylow-boiling petroleum ethe?ether (20:1) to afford 5 (0.58 g, 65%), mp 111-113C, lit. mp 111-13C [4].",1,,,2.0,,0.5; 0.5,18 - 20; -5,,,,Beckmann Rearrangement,,,,,Page/Page column 7,,3¦Â-acetoxy-5¦Á-androstan-17-one,65 percent,65,,3¦Â-acetoxy-20-hydroximino-5¦Á-pregn-16-en-20-one,pyridine; trichlorophosphate; hydrogenchloride; water,,acetone; acetone
11183802,3,95,full reaction; has preparation,3¦Â-acetoxy-20-hydroximino-5¦Á-pregn-16-en-20-one,3¦Â-acetoxy-5¦Á-androstan-17-one,,[H][C@@]12CC=C(C(C)=NO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](CC[C@]12C)OC(C)=O>>[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](CC[C@]12C)OC(C)=O,Preparation,,,"3¦Â-Acetoxy-5¦Á-androstan-17-one (5). A mixture of 3 (1 g, 2.67 mmol), dry C5H5N (3.2 mL), and dry CH3COCH3 (3.2 mL) at 18-20 C. was treated with POCl3 (1.2 mL), stirred for 30 min, cooled to -5 C., treated with dilute HCl (1:1 with water, 28 mL), stirred for 30 min, and treated with water until neutral. The resulting precipitate was filtered off and washed with water to afford crude product (0.83 g) that was chromatographed over a column of silica gel (L 100-160) with elution by low-boiling petroleum ether:ether (20:1) to afford 5 (0.58 g, 65%), mp 111-113 C., lit. mp 111-13 C. [4].",1,,,2.0,,0.5; 0.5,18 - 20; -5,,,,Beckmann Rearrangement,,,,,Page/Page column 2,,3¦Â-acetoxy-5¦Á-androstan-17-one,65 percent,65,,3¦Â-acetoxy-20-hydroximino-5¦Á-pregn-16-en-20-one,trichlorophosphate; hydrogenchloride; water,,pyridine; acetone; pyridine; water; acetone
22960234,4,95,full reaction; has preparation,cyclohexanone-oxime,caprolactam; 6-aminohexanoic acid,79890; 124922,ON=C1CCCCC1>>O=C1CCCCCN1.NCCCCCC(O)=O,Preparation,5,Example 5,"The continuous production of ¦Å-caprolactam by a transfer reaction of cyclohexanoneoxime as tried by performing a reaction using an operation similar to that performed in Example 3.However, a 354.0 MM substrate acetonitrile solution was prepared by dissolving the cyclohexanoneoxime in acetonitrile, and the reaction conditions were altered as shown below.",1,,,,,,350,300030,,,,,,,,Page 8,,caprolactam; 6-aminohexanoic acid,87.6 percent; 12.4 percent,87.6; 12.4,,,,,
22960234,4,95,full reaction; has preparation,cyclohexanone-oxime,caprolactam; 6-aminohexanoic acid,79890; 124922,ON=C1CCCCC1>>O=C1CCCCCN1.NCCCCCC(O)=O,Preparation,3,Example 3,"Using the continuous type high-temperature high-pressure reaction apparatus shown in FIG. 1, the continuous production of ?-caprolactam by a transfer reaction was tried using a cyclohexanoneoxime reagent (purity 97%) that was a product of Aldrich Chemical Co., Inc. under the following high-temperature high-pressure water conditions: temperature 400 C., pressure 40 MPa, density 0.5237 g/cm3. The material of the reaction vessel was alloy C-276. The internal diameter of the reaction vessel was 0.325 and the length of the reaction vessel was 120 cm; accordingly, the volume of the reaction vessel was calculated as 0.0995 cm3. The respective prepared liquids that were introduced were injected by means of high-pressure pumps. Carrier water with a temperature of 550 C. and a pressure of 40 MPa was prepared by heating distilled water from which solute oxygen had been driven out by bubbling with nitrogen gas, and this water was passed through at a liquid feeding rate of 3.7 ml/min. The linear velocity was 7.43?10?1 m/sec. [0066] Similarly, a substrate solution containing 21.9 mM cyclohexanoneoxime was prepared using distilled water that had been subjected to a deoxygenation treatment. The substrate solution with a temperature of room temperature and a pressure of 40 MPa was introduced into the carrier water at the inlet of the reaction vessel at a liquid feeding rate of 1.3 ml/min, and these solutions were mixed. The linear velocity was 2.61?10?1 m/sec. The reaction temperature of the mixed solution measured by the thermocouple (1) installed at a distance of 1 cm from the inlet of the reaction vessel was 400 C. This agreed with the temperature of 400 C. measured by the thermocouple (2) at the outlet of the reaction vessel; thus, it appeared that the temperature was constant inside the reaction vessel, and that the carrier water and substrate solution were homogeneously mixed. The liquid feeding rate of the homogeneously mixed fluid was 5.0 ml/min, and the linear velocity was 1.00?100 m/sec. The substrate concentration following mixing was 5.69 mM. The reaction time was 0.625 seconds. Accordingly, it appears that mixing was completely accomplished within a short time of 0.006 seconds or less. [0067] When the aqueous solution recovered following the reaction was investigated using a high-speed liquid chromatography mass analysis apparatus, it was confirmed that ?-caprolactam was produced as the main product, and that 6-aminocaproic acid was produced as a by-product. In addition, unreacted cyclohexanoneoxime was detected. The content concentration of ?-caprolactam was 3.78 mM. The reaction yield was 66.4%. The content of 6-aminocaproic acid was 0.078 mM, and the reaction yield was 1.4%. [0068] In conventional methods, cyclohexanone is produced from cyclohexanoneoxime, and the yield of ?-caprolactam is low. In the present invention, on the other hand, almost no production of cyclohexanone is seen; thus, it appears that side reactions occurring during the elevation of the temperature can be suppressed by reducing the temperature elevation time to a short time of 3 seconds or less, so that the yield of ?-caprolactam can be greatly increased in a reaction with a duration of 0.625 seconds. Thus, it appears that the use of the high-temperature high-pressure reaction system of the present invention makes it possible to perform a previously unknown novel organic reaction that proceeds in a short time of approximately 1 second.",1,,,,,0.000173611,400,300030,,,,,,,,Page 7,,caprolactam; 6-aminohexanoic acid,66.4 percent; 1.4 percent,66.4; 1.4,,,water,,
22960234,4,95,full reaction; has preparation,cyclohexanone-oxime,caprolactam; 6-aminohexanoic acid,79890; 124922,ON=C1CCCCC1>>O=C1CCCCCN1.NCCCCCC(O)=O,Preparation,1-9,,"Using a continuous type high-temperature high-pressure reaction apparatus as shown in FIG. 1, continuous production of ?-caprolactam through a rearrangement reaction was attempted using a cyclohexanone oxime (purity 97%) made by Aldrich Chemical Company, Inc. in high-temperature high-pressure water of temperature 375C, pressure 30 MPa and density 0.5583 g/cm3. The material of the reactor was alloy C-276, and the internal diameter of the reactor was 0.325 mm and the length of the reactor was 120 cm, and hence the volume of the reactor was calculated to be 0.0995 cm3. Each of the prepared liquids to be introduced (i.e. the carrier water and the cyclohexanone oxime substrate solution) was injected in using a high-pressure pump. Distilled water from which dissolved oxygen had been driven out by bubbling with nitrogen gas was heated to produce carrier water at 460C and 30 MPa, and the carrier water was passed through at a flow rate of 3.8 ml/min. A 21.9 mM cyclohexanone oxime substrate solution was prepared using similarly deoxygenated distilled water. The substrate solution was introduced at room temperature and 30 MPa into the carrier water at the reactor inlet at a flow rate of 1.3 ml/min, thus mixing the substrate solution and the carrier water together. The reaction temperature of the mixed solution measured by a thermocouple (1) installed 1 cm from the reactor inlet was 375C, which matched the temperature measured by a thermocouple (2) at the reactor outlet, and hence it is inferred that the temperature throughout the reactor was constant, and that the carrier water and the substrate solution were mixed together homogeneously. The substrate concentration after the mixing was 5.58 mM. The reaction time was 0.667 seconds. It is thus inferred that the mixing took place within a short time of not more than 0.006 seconds. The aqueous solution recovered after the reaction was examined using a high performance liquid chromatography-mass spectrometry apparatus, whereupon it was found that ?-caprolactam as a main product and 6-aminocaproic acid as a byproduct had been produced. Apart from that, only unreacted cyclohexanone oxime was detected, with cyclohexanone, which is the hydrolysis product of the raw material, not being detected at all. The concentration of the ?-caprolactam was 2.31 mM, and hence the reaction yield thereof was 41.4%. The concentration of the 6-aminocaproic acid was 0.017 mM, and hence the reaction yield thereof was 0.3%.Example 2 Reaction was carried out as in Example 1, thus attempting continuous production of ¦Å-caprolactam through a rearrangement reaction of cyclohexanone oxime.. The reaction conditions, however, were changed to the following. Temperature and pressure of carrier water: 404C, 25 MPa Flow rate of carrier water: 3.7 ml/min Temperature and pressure of 21.9 mM substrate solution: 25C, 25 MPa Flow rate of 21.9 mM substrate solution: 1.3 ml/min Temperature of high-temperature high-pressure water to be reacted: 350C Pressure of high-temperature high-pressure water to be reacted: 25 MPa Density of high-temperature high-pressure water to be reacted: 0.6257 g/cm3 Flow rate of high-temperature high-pressure water to be reacted: 5.0 ml/min The cyclohexanone oxime substrate concentration after the mixing was 5.69 mM. The reaction time was 0.747 seconds, and the temperature throughout the reactor was constant, and hence it is inferred that the mixing took place within a short time of not more than 0.006 seconds. The aqueous solution after the reaction was examined using a high performance liquid chromatography-mass spectrometry apparatus, whereupon it was found that ?-caprolactam as a main product and 6-aminocaproic acid as a byproduct had been produced. Apart from that, only unreacted cyclohexanone oxime was detected, with cyclohexanone, which is the hydrolysis product of the raw material, not being detected at all. The concentration of the ?-caprolactam was 1.61mM, and hence the reaction yield thereof was 28.3%. The concentration of the 6-aminocaproic acid was 0.011 mM, and hence the reaction yield thereof was 0.2%.Example 3 Reaction was carried out as in Example 1, thus attempting continuous production of ¦Å-caprolactam through a rearrangement reaction of cyclohexanone oxime.. The reaction conditions, however, were changed to the following. Temperature and pressure of carrier water: 352C, 15 MPa Flow rate of carrier water: 2.9 ml/min Temperature and pressure of 21.9 mM substrate solution: 25C, 15 MPa Flow rate of 21.9 mM substrate solution: 2.1 ml/min Temperature of high-temperature high-pressure water to be reacted: 300C Pressure of high-temperature high-pressure water to be reacted: 15 MPa Density of high-temperature high-pressure water to be reacted: 0.7259 g/cm3 Flow rate of high-temperature high-pressure water to be reacted: 5.0 ml/min The cyclohexanone oxime substrate concentration after the mixing was 9.20 mM. The reaction time was 0.867 seconds, and the temperature throughout the...",1,,,,,5.55556E-07 - 0.00143472,25 - 550,112511 - 300030,,,,,,,,Page 7-12,,caprolactam; 6-aminohexanoic acid,5.5 - 76.3 percent; 0.1 - 2.7 percent,5.5; 0.1,,,water,,
